Race,Coach,Location,Nation,Opponent,Tournament Name,Variant,Year,Date,Result,# Draws,# Games,# Losses,# Wins,Opponent TDs,T Ds,TDs Against,TDs For,TDs Net,Win %
Lizardmen,LordAntoine,United States,United States Of America,Grentain,Boglin Bowl: A Blood Bowl Baby Shower,BB 2020,2021,5/8/2021,L,,1,1,,2,0,2,0,-2,0.0%
Old World Alliance,Joker2and53,United States,United States Of America,Jogrenaught,Boglin Bowl: A Blood Bowl Baby Shower,BB 2020,2021,5/8/2021,L,,1,1,,2,0,2,0,-2,0.0%
Orc,nephilim81,United States,,smitty22,MAYhem Bowl 2021,BB 2020,2021,5/8/2021,L,,1,1,,2,0,2,0,-2,0.0%
Shambling Undead,Palanthar,United States,United States Of America,nickthegrk,Boglin Bowl: A Blood Bowl Baby Shower,BB 2020,2021,5/8/2021,L,,1,1,,2,0,2,0,-2,0.0%
Wood Elf,Aftershock912,United States,United States Of America,nickthegrk,Boglin Bowl: A Blood Bowl Baby Shower,BB 2020,2021,5/8/2021,L,,1,1,,2,0,2,0,-2,0.0%
Old World Alliance,redstar1,United States,United States Of America,Dashergeaux,MAYhem Bowl 2021,BB 2020,2021,5/8/2021,L,,1,1,,3,0,3,0,-3,0.0%
Amazon,Ikeda,United States,United States Of America,LordAntoine,Boglin Bowl: A Blood Bowl Baby Shower,BB 2020,2021,5/8/2021,L,,1,1,,2,1,2,1,-1,0.0%
Human,jerzigroanvile,United States,,nephilim81,MAYhem Bowl 2021,BB 2020,2021,5/8/2021,L,,1,1,,2,1,2,1,-1,0.0%
Lizardmen,nukafett,United States,United States Of America,Sol,Boglin Bowl: A Blood Bowl Baby Shower,BB 2020,2021,5/8/2021,L,,1,1,,2,1,2,1,-1,0.0%
Norse,WIldManTX,United States,United States Of America,thedukeofdirty,MAYhem Bowl 2021,BB 2020,2021,5/8/2021,L,,1,1,,2,1,2,1,-1,0.0%
Shambling Undead,Palanthar,United States,United States Of America,nornbreeder,Boglin Bowl: A Blood Bowl Baby Shower,BB 2020,2021,5/8/2021,L,,1,1,,2,1,2,1,-1,0.0%
Shambling Undead,FACESTOMP,United States,United States Of America,Macbeth9,MAYhem Bowl 2021,BB 2020,2021,5/8/2021,L,,1,1,,2,1,2,1,-1,0.0%
Wood Elf,Roadhog,United States,,Tyveron,Boglin Bowl: A Blood Bowl Baby Shower,BB 2020,2021,5/8/2021,L,,1,1,,2,1,2,1,-1,0.0%
Lizardmen,Temujin71,United States,United States Of America,cyberedelf,MAYhem Bowl 2021,BB 2020,2021,5/8/2021,L,,1,1,,4,1,4,1,-3,0.0%
Black Orc,Joemazing,United States,,Goblinacus,Boglin Bowl: A Blood Bowl Baby Shower,BB 2020,2021,5/8/2021,L,,1,1,,1,0,1,0,-1,0.0%
Black Orc,Greenheart22,United States,,Ornan,Boglin Bowl: A Blood Bowl Baby Shower,BB 2020,2021,5/8/2021,L,,1,1,,1,0,1,0,-1,0.0%
Daemons of Khorne,IronMaster720,United States,United States Of America,Jogrenaught,Boglin Bowl: A Blood Bowl Baby Shower,BB 2020,2021,5/8/2021,L,,1,1,,1,0,1,0,-1,0.0%
Necromantic Horror,dedfish38,United States,,redstar1,MAYhem Bowl 2021,BB 2020,2021,5/8/2021,L,,1,1,,1,0,1,0,-1,0.0%
Black Orc,Goblinacus,United States,,Jogrenaught,Boglin Bowl: A Blood Bowl Baby Shower,BB 2020,2021,5/8/2021,L,,1,1,,2,0,2,0,-2,0.0%
Necromantic Horror,dedfish38,United States,,Macbeth9,MAYhem Bowl 2021,BB 2020,2021,5/8/2021,L,,1,1,,3,0,3,0,-3,0.0%
Nurgle,Sturmjarl,United States,United States Of America,Sol,Boglin Bowl: A Blood Bowl Baby Shower,BB 2020,2021,5/8/2021,L,,1,1,,3,0,3,0,-3,0.0%
Black Orc,Greenheart22,United States,,FloridaMan,Boglin Bowl: A Blood Bowl Baby Shower,BB 2020,2021,5/8/2021,L,,1,1,,5,0,5,0,-5,0.0%
Black Orc,Veerja,United States,,nukafett,Boglin Bowl: A Blood Bowl Baby Shower,BB 2020,2021,5/8/2021,L,,1,1,,2,1,2,1,-1,0.0%
Nurgle,ramdoman,United States,United States Of America,houseblackfyre,MAYhem Bowl 2021,BB 2020,2021,5/8/2021,L,,1,1,,2,1,2,1,-1,0.0%
Halfling,nornbreeder,United States,United States Of America,IronMaster720,Boglin Bowl: A Blood Bowl Baby Shower,BB 2020,2021,5/8/2021,L,,1,1,,1,0,1,0,-1,0.0%
Halfling,Mowgli,United States,United States Of America,Brogre,Boglin Bowl: A Blood Bowl Baby Shower,BB 2020,2021,5/8/2021,L,,1,1,,1,0,1,0,-1,0.0%
Ogre,Brogre,United States,United States Of America,Goblinacus,Boglin Bowl: A Blood Bowl Baby Shower,BB 2020,2021,5/8/2021,L,,1,1,,2,0,2,0,-2,0.0%
Halfling,Mowgli,United States,United States Of America,Sturmjarl,Boglin Bowl: A Blood Bowl Baby Shower,BB 2020,2021,5/8/2021,L,,1,1,,3,0,3,0,-3,0.0%
Snotling,Snotgasm,United States,,nukafett,Boglin Bowl: A Blood Bowl Baby Shower,BB 2020,2021,5/8/2021,L,,1,1,,4,0,4,0,-4,0.0%
Dwarf,SVelez01,United States,United States Of America,D_Mode,MAYhem Bowl 2021,BB 2020,2021,5/8/2021,T,1,1,,,0,0,0,0,0,50.0%
Human,moeskeeto,United States,,FatNinjaPanda,Boglin Bowl: A Blood Bowl Baby Shower,BB 2020,2021,5/8/2021,T,1,1,,,0,0,0,0,0,50.0%
Wood Elf,Roadhog,United States,,Zephiel,Boglin Bowl: A Blood Bowl Baby Shower,BB 2020,2021,5/8/2021,T,1,1,,,0,0,0,0,0,50.0%
Dwarf,beansanddice,United States,,Snotgasm,Boglin Bowl: A Blood Bowl Baby Shower,BB 2020,2021,5/8/2021,T,1,1,,,1,1,1,1,0,50.0%
Human,jerzigroanvile,United States,,houseblackfyre,MAYhem Bowl 2021,BB 2020,2021,5/8/2021,T,1,1,,,1,1,1,1,0,50.0%
Shambling Undead,cyberedelf,United States,United States Of America,vannawight,MAYhem Bowl 2021,BB 2020,2021,5/8/2021,T,1,1,,,1,1,1,1,0,50.0%
Lizardmen,Macbeth9,United States,United States Of America,Dashergeaux,MAYhem Bowl 2021,BB 2020,2021,5/8/2021,T,1,1,,,2,2,2,2,0,50.0%
Norse,WIldManTX,United States,United States Of America,vannawight,MAYhem Bowl 2021,BB 2020,2021,5/8/2021,T,1,1,,,2,2,2,2,0,50.0%
Wood Elf,nickthegrk,United States,,beansanddice,Boglin Bowl: A Blood Bowl Baby Shower,BB 2020,2021,5/8/2021,T,1,1,,,2,2,2,2,0,50.0%
Nurgle,Sturmjarl,United States,United States Of America,Veerja,Boglin Bowl: A Blood Bowl Baby Shower,BB 2020,2021,5/8/2021,T,1,1,,,1,1,1,1,0,50.0%
Nurgle,ramdoman,United States,United States Of America,nephilim81,MAYhem Bowl 2021,BB 2020,2021,5/8/2021,T,1,1,,,1,1,1,1,0,50.0%
Amazon,Ikeda,United States,United States Of America,Palanthar,Boglin Bowl: A Blood Bowl Baby Shower,BB 2020,2021,5/8/2021,W,,1,,1,0,1,0,1,1,100.0%
Dwarf,Grentain,United States,,nornbreeder,Boglin Bowl: A Blood Bowl Baby Shower,BB 2020,2021,5/8/2021,W,,1,,1,0,1,0,1,1,100.0%
Dwarf,Grentain,United States,,Aftershock912,Boglin Bowl: A Blood Bowl Baby Shower,BB 2020,2021,5/8/2021,W,,1,,1,0,1,0,1,1,100.0%
Lizardmen,Temujin71,United States,United States Of America,thedukeofdirty,MAYhem Bowl 2021,BB 2020,2021,5/8/2021,W,,1,,1,0,1,0,1,1,100.0%
Old World Alliance,Joker2and53,United States,United States Of America,Joemazing,Boglin Bowl: A Blood Bowl Baby Shower,BB 2020,2021,5/8/2021,W,,1,,1,0,1,0,1,1,100.0%
Shambling Undead,cyberedelf,United States,United States Of America,ramdoman,MAYhem Bowl 2021,BB 2020,2021,5/8/2021,W,,1,,1,0,1,0,1,1,100.0%
Dwarf,SVelez01,United States,United States Of America,redstar1,MAYhem Bowl 2021,BB 2020,2021,5/8/2021,W,,1,,1,0,2,0,2,2,100.0%
Norse,Ornan,United States,,beansanddice,Boglin Bowl: A Blood Bowl Baby Shower,BB 2020,2021,5/8/2021,W,,1,,1,0,2,0,2,2,100.0%
Orc,smitty22,United States,,durthu,MAYhem Bowl 2021,BB 2020,2021,5/8/2021,W,,1,,1,0,2,0,2,2,100.0%
Norse,Ornan,United States,,FloridaMan,Boglin Bowl: A Blood Bowl Baby Shower,BB 2020,2021,5/8/2021,W,,1,,1,1,2,1,2,1,100.0%
Shambling Undead,FACESTOMP,United States,United States Of America,houseblackfyre,MAYhem Bowl 2021,BB 2020,2021,5/8/2021,W,,1,,1,1,2,1,2,1,100.0%
Skaven,Sol,United States,United States Of America,FloridaMan,Boglin Bowl: A Blood Bowl Baby Shower,BB 2020,2021,5/8/2021,W,,1,,1,0,3,0,3,3,100.0%
Wood Elf,Aftershock912,United States,United States Of America,moeskeeto,Boglin Bowl: A Blood Bowl Baby Shower,BB 2020,2021,5/8/2021,W,,1,,1,0,3,0,3,3,100.0%
Black Orc,Veerja,United States,,FatNinjaPanda,Boglin Bowl: A Blood Bowl Baby Shower,BB 2020,2021,5/8/2021,W,,1,,1,0,2,0,2,2,100.0%
Daemons of Khorne,IronMaster720,United States,United States Of America,Tyveron,Boglin Bowl: A Blood Bowl Baby Shower,BB 2020,2021,5/8/2021,W,,1,,1,0,2,0,2,2,100.0%
Chaos Chosen,D_Mode,United States,,jerzigroanvile,MAYhem Bowl 2021,BB 2020,2021,5/8/2021,W,,1,,1,1,2,1,2,1,100.0%
High Elf,Dashergeaux,United States,United States Of America,Temujin71,MAYhem Bowl 2021,BB 2020,2021,5/8/2021,W,,1,,1,1,2,1,2,1,100.0%
Black Orc,thedukeofdirty,United States,United States Of America,dedfish38,MAYhem Bowl 2021,BB 2020,2021,5/8/2021,W,,1,,1,0,3,0,3,3,100.0%
Goblin,vannawight,United States,United States Of America,FACESTOMP,MAYhem Bowl 2021,BB 2020,2021,5/8/2021,W,,1,,1,0,1,0,1,1,100.0%
Halfling,Mowgli,United States,United States Of America,moeskeeto,Boglin Bowl: A Blood Bowl Baby Shower,BB 2020,2021,5/8/2021,W,,1,,1,0,1,0,1,1,100.0%
Ogre,Brogre,United States,United States Of America,Roadhog,Boglin Bowl: A Blood Bowl Baby Shower,BB 2020,2021,5/8/2021,W,,1,,1,0,1,0,1,1,100.0%
Snotling,Snotgasm,United States,,FatNinjaPanda,Boglin Bowl: A Blood Bowl Baby Shower,BB 2020,2021,5/8/2021,W,,1,,1,0,1,0,1,1,100.0%
Halfling,durthu,United States,United States Of America,D_Mode,MAYhem Bowl 2021,BB 2020,2021,5/8/2021,W,,1,,1,0,2,0,2,2,100.0%
Halfling,durthu,United States,United States Of America,WIldManTX,MAYhem Bowl 2021,BB 2020,2021,5/8/2021,W,,1,,1,1,2,1,2,1,100.0%
Human,moeskeeto,United States,,Mowgli,Boglin Bowl: A Blood Bowl Baby Shower,BB 2020,2021,5/8/2021,L,,1,1,,1,0,1,0,-1,0.0%
Shambling Undead,Palanthar,United States,United States Of America,Ikeda,Boglin Bowl: A Blood Bowl Baby Shower,BB 2020,2021,5/8/2021,L,,1,1,,1,0,1,0,-1,0.0%
Shambling Undead,FACESTOMP,United States,United States Of America,vannawight,MAYhem Bowl 2021,BB 2020,2021,5/8/2021,L,,1,1,,1,0,1,0,-1,0.0%
Wood Elf,Aftershock912,United States,United States Of America,Grentain,Boglin Bowl: A Blood Bowl Baby Shower,BB 2020,2021,5/8/2021,L,,1,1,,1,0,1,0,-1,0.0%
Lizardmen,domingo,Poland,Poland,DoTheMario,Beach Bowl 2021 â North Poland,BB 2020,2021,7/24/2021,L,,1,1,,2,0,2,0,-2,0.0%
Orc,Vex,Poland,,Misiozaurus,Beach Bowl 2021 â North Poland,BB 2020,2021,7/24/2021,L,,1,1,,2,0,2,0,-2,0.0%
Lizardmen,Haram,Poland,Poland,Reszka,Beach Bowl 2021 â North Poland,BB 2020,2021,7/24/2021,L,,1,1,,3,0,3,0,-3,0.0%
Norse,Stikman,Poland,Poland,Cyryl,Beach Bowl 2021 â North Poland,BB 2020,2021,7/24/2021,L,,1,1,,3,0,3,0,-3,0.0%
Orc,Vex,Poland,,Zielu,Beach Bowl 2021 â North Poland,BB 2020,2021,7/24/2021,L,,1,1,,2,1,2,1,-1,0.0%
Shambling Undead,Grzechu,Poland,,unicornson,Beach Bowl 2021 â North Poland,BB 2020,2021,7/24/2021,L,,1,1,,2,1,2,1,-1,0.0%
Skaven,Czeftek,Poland,,Elkolak,Beach Bowl 2021 â North Poland,BB 2020,2021,7/24/2021,L,,1,1,,2,1,2,1,-1,0.0%
Skaven,Czeftek,Poland,,Haram,Beach Bowl 2021 â North Poland,BB 2020,2021,7/24/2021,L,,1,1,,2,1,2,1,-1,0.0%
Dwarf,Xsaw,Poland,,Woombat,Beach Bowl 2021 â North Poland,BB 2020,2021,7/24/2021,L,,1,1,,3,1,3,1,-2,0.0%
Chaos Chosen,Rafal44,Poland,,Leonek,Beach Bowl 2021 â North Poland,BB 2020,2021,7/24/2021,L,,1,1,,1,0,1,0,-1,0.0%
Necromantic Horror,Oren,Poland,Poland,Crowmaster,Beach Bowl 2021 â North Poland,BB 2020,2021,7/24/2021,L,,1,1,,1,0,1,0,-1,0.0%
Tomb Kings,Kelpie,Poland,,Mort666,Beach Bowl 2021 â North Poland,BB 2020,2021,7/24/2021,L,,1,1,,1,0,1,0,-1,0.0%
Tomb Kings,Brama,Poland,,DoTheMario,Beach Bowl 2021 â North Poland,BB 2020,2021,7/24/2021,L,,1,1,,1,0,1,0,-1,0.0%
Necromantic Horror,BRaN,Poland,,domingo,Beach Bowl 2021 â North Poland,BB 2020,2021,7/24/2021,L,,1,1,,2,0,2,0,-2,0.0%
Tomb Kings,Kelpie,Poland,,Vex,Beach Bowl 2021 â North Poland,BB 2020,2021,7/24/2021,L,,1,1,,2,0,2,0,-2,0.0%
Daemons of Khorne,Smollar,Poland,Poland,Czeftek,Beach Bowl 2021 â North Poland,BB 2020,2021,7/24/2021,L,,1,1,,3,0,3,0,-3,0.0%
High Elf,Elkolak,Poland,Poland,Reszka,Beach Bowl 2021 â North Poland,BB 2020,2021,7/24/2021,L,,1,1,,2,1,2,1,-1,0.0%
Imperial Nobility,Marcepan,Poland,Poland,Rafal44,Beach Bowl 2021 â North Poland,BB 2020,2021,7/24/2021,L,,1,1,,2,1,2,1,-1,0.0%
Imperial Nobility,Marcepan,Poland,Poland,unicornson,Beach Bowl 2021 â North Poland,BB 2020,2021,7/24/2021,L,,1,1,,2,1,2,1,-1,0.0%
Vampire,Duinhir,Poland,,Crowmaster,Beach Bowl 2021 â North Poland,BB 2020,2021,7/24/2021,L,,1,1,,2,1,2,1,-1,0.0%
Elf Union,Woombat,Poland,,ulizzez,Beach Bowl 2021 â North Poland,BB 2020,2021,7/24/2021,L,,1,1,,3,1,3,1,-2,0.0%
Tomb Kings,Kelpie,Poland,,mysza,Beach Bowl 2021 â North Poland,BB 2020,2021,7/24/2021,L,,1,1,,3,1,3,1,-2,0.0%
Vampire,Duinhir,Poland,,redil,Beach Bowl 2021 â North Poland,BB 2020,2021,7/24/2021,L,,1,1,,3,1,3,1,-2,0.0%
Ogre,Grab,Poland,Poland,Reszka,Beach Bowl 2021 â North Poland,BB 2020,2021,7/24/2021,L,,1,1,,1,0,1,0,-1,0.0%
Goblin,Pegaz,Poland,Poland,BRaN,Beach Bowl 2021 â North Poland,BB 2020,2021,7/24/2021,L,,1,1,,2,0,2,0,-2,0.0%
Snotling,teillman,Poland,Poland,domingo,Beach Bowl 2021 â North Poland,BB 2020,2021,7/24/2021,L,,1,1,,2,0,2,0,-2,0.0%
Goblin,Pegaz,Poland,Poland,Cyryl,Beach Bowl 2021 â North Poland,BB 2020,2021,7/24/2021,L,,1,1,,3,0,3,0,-3,0.0%
Goblin,crazy_cow,Poland,Poland,Marcepan,Beach Bowl 2021 â North Poland,BB 2020,2021,7/24/2021,L,,1,1,,2,1,2,1,-1,0.0%
Halfling,unicornson,Poland,Poland,Mort666,Beach Bowl 2021 â North Poland,BB 2020,2021,7/24/2021,L,,1,1,,2,1,2,1,-1,0.0%
Halfling,ulizzez,Poland,,Grzechu,Beach Bowl 2021 â North Poland,BB 2020,2021,7/24/2021,L,,1,1,,2,1,2,1,-1,0.0%
Snotling,teillman,Poland,Poland,Grab,Beach Bowl 2021 â North Poland,BB 2020,2021,7/24/2021,L,,1,1,,2,1,2,1,-1,0.0%
Human,corav,United States,United States Of America,Trefenwyd,Twisted Lords Con Blood Bowl Tournament,BB 2020,2021,7/24/2021,L,,1,1,,1,0,1,0,-1,0.0%
Dwarf,Kilowoggy,United States,United States Of America,ntimitbrutality,Twisted Lords Con Blood Bowl Tournament,BB 2020,2021,7/24/2021,L,,1,1,,2,0,2,0,-2,0.0%
Dwarf,Kilowoggy,United States,United States Of America,scottprime,Twisted Lords Con Blood Bowl Tournament,BB 2020,2021,7/24/2021,L,,1,1,,2,0,2,0,-2,0.0%
Orc,android325,United States,,scottprime,Twisted Lords Con Blood Bowl Tournament,BB 2020,2021,7/24/2021,L,,1,1,,2,0,2,0,-2,0.0%
Dwarf,Kilowoggy,United States,United States Of America,KingofDasea,Twisted Lords Con Blood Bowl Tournament,BB 2020,2021,7/24/2021,L,,1,1,,3,0,3,0,-3,0.0%
Human,asher2021,United States,,ntimitbrutality,Twisted Lords Con Blood Bowl Tournament,BB 2020,2021,7/24/2021,L,,1,1,,5,0,5,0,-5,0.0%
Orc,KingofDasea,United States,United States Of America,ak_the_snake,Twisted Lords Con Blood Bowl Tournament,BB 2020,2021,7/24/2021,L,,1,1,,2,1,2,1,-1,0.0%
Dwarf,baatosan,United States,,hilzari,Marina DOOM Invitational,BB 2020,2021,7/24/2021,L,,1,1,,2,0,2,0,-2,0.0%
Lizardmen,purpledodo,United Kingdom,,bigmekmilt,IOW Sandbowl III,BB 2020,2021,7/24/2021,L,,1,1,,2,0,2,0,-2,0.0%
Norse,juck101,United Kingdom,England,purpledodo,IOW Sandbowl III,BB 2020,2021,7/24/2021,L,,1,1,,2,0,2,0,-2,0.0%
Skaven,gamingwithmike,United Kingdom,,juck101,IOW Sandbowl III,BB 2020,2021,7/24/2021,L,,1,1,,2,0,2,0,-2,0.0%
Orc,Bigcrisp,United Kingdom,England,bigmekmilt,IOW Sandbowl III,BB 2020,2021,7/24/2021,L,,1,1,,3,0,3,0,-3,0.0%
Human,felna,United Kingdom,England,Bobafettsmum,IOW Sandbowl III,BB 2020,2021,7/24/2021,L,,1,1,,2,1,2,1,-1,0.0%
Orc,Bigcrisp,United Kingdom,England,cyberduk,IOW Sandbowl III,BB 2020,2021,7/24/2021,L,,1,1,,3,1,3,1,-2,0.0%
Skaven,gamingwithmike,United Kingdom,,purpledodo,IOW Sandbowl III,BB 2020,2021,7/24/2021,L,,1,1,,3,1,3,1,-2,0.0%
Vampire,Lemf,United Kingdom,England,schooma,IOW Sandbowl III,BB 2020,2021,7/24/2021,L,,1,1,,1,0,1,0,-1,0.0%
Vampire,Lemf,United Kingdom,England,mrroberto,IOW Sandbowl III,BB 2020,2021,7/24/2021,L,,1,1,,1,0,1,0,-1,0.0%
Imperial Nobility,Belafon,United Kingdom,England,Lemf,IOW Sandbowl III,BB 2020,2021,7/24/2021,L,,1,1,,2,0,2,0,-2,0.0%
Underworld Denizens,HalfHawk,United Kingdom,Scotland,Bobafettsmum,IOW Sandbowl III,BB 2020,2021,7/24/2021,L,,1,1,,2,0,2,0,-2,0.0%
Black Orc,DaCrusha,United States,United States Of America,mother_chucker,Marina DOOM Invitational,BB 2020,2021,7/24/2021,L,,1,1,,3,0,3,0,-3,0.0%
Imperial Nobility,bloodtithe,United Kingdom,England,Bigcrisp,IOW Sandbowl III,BB 2020,2021,7/24/2021,L,,1,1,,3,0,3,0,-3,0.0%
Underworld Denizens,HalfHawk,United Kingdom,Scotland,Bigcrisp,IOW Sandbowl III,BB 2020,2021,7/24/2021,L,,1,1,,3,0,3,0,-3,0.0%
Underworld Denizens,HalfHawk,United Kingdom,Scotland,bpgreenman,IOW Sandbowl III,BB 2020,2021,7/24/2021,L,,1,1,,3,0,3,0,-3,0.0%
Imperial Nobility,bloodtithe,United Kingdom,England,Gimli01,IOW Sandbowl III,BB 2020,2021,7/24/2021,L,,1,1,,2,1,2,1,-1,0.0%
Goblin,Shazam,United Kingdom,England,Gimli01,IOW Sandbowl III,BB 2020,2021,7/24/2021,L,,1,1,,1,0,1,0,-1,0.0%
Halfling,copemon,United Kingdom,England,Shazam,IOW Sandbowl III,BB 2020,2021,7/24/2021,L,,1,1,,2,0,2,0,-2,0.0%
Halfling,copemon,United Kingdom,England,Belafon,IOW Sandbowl III,BB 2020,2021,7/24/2021,L,,1,1,,2,0,2,0,-2,0.0%
Halfling,schooma,United Kingdom,England,juck101,IOW Sandbowl III,BB 2020,2021,7/24/2021,L,,1,1,,2,0,2,0,-2,0.0%
Snotling,mrroberto,United Kingdom,England,Shazam,IOW Sandbowl III,BB 2020,2021,7/24/2021,L,,1,1,,4,0,4,0,-4,0.0%
Halfling,copemon,United Kingdom,England,cyberduk,IOW Sandbowl III,BB 2020,2021,7/24/2021,L,,1,1,,4,1,4,1,-3,0.0%
Norse,yoshi74,France,France,obsidian,Declic Ludik,BB 2020,2021,7/24/2021,L,,1,1,,2,0,2,0,-2,0.0%
Imperial Nobility,Lord_Bojo,France,France,obsidian,Declic Ludik,BB 2020,2021,7/24/2021,L,,1,1,,1,0,1,0,-1,0.0%
Necromantic Horror,Lulu,France,France,Nainvert,Declic Ludik,BB 2020,2021,7/24/2021,L,,1,1,,1,0,1,0,-1,0.0%
Halfling,Goethals,France,,yoshi74,Declic Ludik,BB 2020,2021,7/24/2021,L,,1,1,,2,1,2,1,-1,0.0%
Wood Elf,Johniczech,Czech Republic,Czech Republic,grom,Prague Bowl - Quick Snap 8,BB 2020,2021,7/24/2021,L,,1,1,,1,0,1,0,-1,0.0%
Orc,grom,Czech Republic,Czech Republic,mattius,Prague Bowl - Quick Snap 8,BB 2020,2021,7/24/2021,L,,1,1,,2,0,2,0,-2,0.0%
Shambling Undead,Vampire,Czech Republic,Czech Republic,mattius,Prague Bowl - Quick Snap 8,BB 2020,2021,7/24/2021,L,,1,1,,2,0,2,0,-2,0.0%
Lizardmen,SteelyKnife,Denmark,Denmark,Storr,Aros BB-Cup 2021,BB 2020,2021,7/24/2021,L,,1,1,,3,0,3,0,-3,0.0%
Skaven,dromo,Denmark,,Pete,Aros BB-Cup 2021,BB 2020,2021,7/24/2021,L,,1,1,,3,0,3,0,-3,0.0%
Dark Elf,Storr,Denmark,Andorra,sherbie75,Aros BB-Cup 2021,BB 2020,2021,7/24/2021,L,,1,1,,2,1,2,1,-1,0.0%
Human,bigbrosky,Denmark,,foulappearance,Aros BB-Cup 2021,BB 2020,2021,7/24/2021,L,,1,1,,2,1,2,1,-1,0.0%
Human,bigbrosky,Denmark,,SteelyKnife,Aros BB-Cup 2021,BB 2020,2021,7/24/2021,L,,1,1,,2,1,2,1,-1,0.0%
Skaven,cbraw,Denmark,Denmark,hargrim,Aros BB-Cup 2021,BB 2020,2021,7/24/2021,L,,1,1,,2,1,2,1,-1,0.0%
Skaven,cbraw,Denmark,Denmark,Topper,Aros BB-Cup 2021,BB 2020,2021,7/24/2021,L,,1,1,,2,1,2,1,-1,0.0%
Dark Elf,Storr,Denmark,Andorra,cbraw,Aros BB-Cup 2021,BB 2020,2021,7/24/2021,L,,1,1,,3,2,3,2,-1,0.0%
Necromantic Horror,hargrim,Denmark,Denmark,kervin,Aros BB-Cup 2021,BB 2020,2021,7/24/2021,L,,1,1,,3,0,3,0,-3,0.0%
Snotling,coewolf,Czech Republic,Czech Republic,grom,Prague Bowl - Quick Snap 8,BB 2020,2021,7/24/2021,L,,1,1,,2,0,2,0,-2,0.0%
Snotling,coewolf,Czech Republic,Czech Republic,Johniczech,Prague Bowl - Quick Snap 8,BB 2020,2021,7/24/2021,L,,1,1,,2,0,2,0,-2,0.0%
Goblin,Elenistar,Czech Republic,Czech Republic,Vampire,Prague Bowl - Quick Snap 8,BB 2020,2021,7/24/2021,L,,1,1,,4,1,4,1,-3,0.0%
Lizardmen,domingo,Poland,Poland,Misiozaurus,Beach Bowl 2021 â North Poland,BB 2020,2021,7/24/2021,T,1,1,,,0,0,0,0,0,50.0%
Amazon,Leonek,Poland,Poland,Misiozaurus,Beach Bowl 2021 â North Poland,BB 2020,2021,7/24/2021,T,1,1,,,1,1,1,1,0,50.0%
Chaos Dwarf,xagar,Poland,,Czeftek,Beach Bowl 2021 â North Poland,BB 2020,2021,7/24/2021,T,1,1,,,1,1,1,1,0,50.0%
Dark Elf,Zielu,Poland,,Marcepan,Beach Bowl 2021 â North Poland,BB 2020,2021,7/24/2021,T,1,1,,,1,1,1,1,0,50.0%
Lizardmen,domingo,Poland,Poland,Mort666,Beach Bowl 2021 â North Poland,BB 2020,2021,7/24/2021,T,1,1,,,1,1,1,1,0,50.0%
Norse,Stikman,Poland,Poland,Pegaz,Beach Bowl 2021 â North Poland,BB 2020,2021,7/24/2021,T,1,1,,,1,1,1,1,0,50.0%
Orc,Reszka,Poland,Poland,Leonek,Beach Bowl 2021 â North Poland,BB 2020,2021,7/24/2021,T,1,1,,,1,1,1,1,0,50.0%
Orc,Reszka,Poland,Poland,Brama,Beach Bowl 2021 â North Poland,BB 2020,2021,7/24/2021,T,1,1,,,1,1,1,1,0,50.0%
Shambling Undead,Grzechu,Poland,,Oren,Beach Bowl 2021 â North Poland,BB 2020,2021,7/24/2021,T,1,1,,,1,1,1,1,0,50.0%
Shambling Undead,Grzechu,Poland,,Vini,Beach Bowl 2021 â North Poland,BB 2020,2021,7/24/2021,T,1,1,,,1,1,1,1,0,50.0%
Elf Union,Woombat,Poland,,DoTheMario,Beach Bowl 2021 â North Poland,BB 2020,2021,7/24/2021,T,1,1,,,1,1,1,1,0,50.0%
Necromantic Horror,Oren,Poland,Poland,Xsaw,Beach Bowl 2021 â North Poland,BB 2020,2021,7/24/2021,T,1,1,,,1,1,1,1,0,50.0%
Tomb Kings,Misiozaurus,Poland,Poland,Brama,Beach Bowl 2021 â North Poland,BB 2020,2021,7/24/2021,T,1,1,,,1,1,1,1,0,50.0%
Necromantic Horror,BRaN,Poland,,Czeftek,Beach Bowl 2021 â North Poland,BB 2020,2021,7/24/2021,T,1,1,,,2,2,2,2,0,50.0%
Ogre,Grab,Poland,Poland,BRaN,Beach Bowl 2021 â North Poland,BB 2020,2021,7/24/2021,T,1,1,,,0,0,0,0,0,50.0%
Goblin,Unicorn_PL,Poland,,Woombat,Beach Bowl 2021 â North Poland,BB 2020,2021,7/24/2021,T,1,1,,,1,1,1,1,0,50.0%
Goblin,Pegaz,Poland,Poland,Vini,Beach Bowl 2021 â North Poland,BB 2020,2021,7/24/2021,T,1,1,,,1,1,1,1,0,50.0%
Halfling,Mort666,Poland,Poland,Rafal44,Beach Bowl 2021 â North Poland,BB 2020,2021,7/24/2021,T,1,1,,,1,1,1,1,0,50.0%
Halfling,unicornson,Poland,Poland,Xsaw,Beach Bowl 2021 â North Poland,BB 2020,2021,7/24/2021,T,1,1,,,1,1,1,1,0,50.0%
Halfling,ulizzez,Poland,,Unicorn_PL,Beach Bowl 2021 â North Poland,BB 2020,2021,7/24/2021,T,1,1,,,1,1,1,1,0,50.0%
Halfling,ulizzez,Poland,,BRaN,Beach Bowl 2021 â North Poland,BB 2020,2021,7/24/2021,T,1,1,,,1,1,1,1,0,50.0%
